Book,Page,Chapter Name,POV,Character,Gender,Alive?,Title,Forename,Surname,Old Surname,Alias,Regnal No
A Clash of Kings,297,Bran III,Bran Stark,Jojen Reed,M,A,,Jojen,Reed,,,
A Clash of Kings,302,Bran III,Bran Stark,Shadd,M,U,,Shadd,,,,
A Clash of Kings,306,Catelyn II,Catelyn Tully,"Ser Colen, Of Greenpools",M,A,Ser,Colen,,,Of Greenpools,
A Clash of Kings,308,Catelyn II,Catelyn Tully,"Ser Ronnet Connington, Red Ronnet",M,A,Ser,Ronnet,Connington,,Red Ronnet,
A Clash of Kings,311,Catelyn II,Catelyn Tully,"Brienne Tarth, The Beauty/The Blue/Of Tarth",F,A,,Brienne,Tarth,,The Beauty/The Blue/Of Tarth,
A Clash of Kings,311,Catelyn II,Catelyn Tully,"Lord Selwyn Tarth, The Evenstar",M,A,Lord,Selwyn,Tarth,,The Evenstar,
A Clash of Kings,313,Catelyn II,Catelyn Tully,Lord Lorent Caswell,M,A,Lord,Lorent,Caswell,,,
A Clash of Kings,314,Catelyn II,Catelyn Tully,Lucas Blackwood,M,D,,Lucas,Blackwood,,,
A Clash of Kings,316,Catelyn II,Catelyn Tully,Lord Willum,M,A,Lord,?,Willum,,,
A Clash of Kings,316,Catelyn II,Catelyn Tully,Josua Willum,M,A,,Josua,Willum,,,
A Clash of Kings,316,Catelyn II,Catelyn Tully,Elyas Willum,M,A,,Elyas,Willum,,,
A Clash of Kings,316,Catelyn II,Catelyn Tully,Lord Steffon Varner,M,A,Lord,Steffon,Varner,,,
A Clash of Kings,316,Catelyn II,Catelyn Tully,"Ser Guyard Morrigen, The Green",M,D,Ser,Guyard,Morrigen,,The Green,
A Clash of Kings,316,Catelyn II,Catelyn Tully,Ser Mark Mullendore,M,A,Ser,Mark,Mullendore,,,
A Clash of Kings,316,Catelyn II,Catelyn Tully,Ser Tanton Fossoway,M,A,Ser,Tanton,Fossoway,,,
A Clash of Kings,320,Catelyn II,Catelyn Tully,Ser Cortnay Penrose,M,D,Ser,Cortnay,Penrose,,,
A Clash of Kings,321,Jon III,Jon Snow,Craster,M,D,,Craster,,,,
A Clash of Kings,331,Jon III,Jon Snow,"Lark, The Sisterman",M,D,,Lark,,,The Sisterman,
A Clash of Kings,335,Jon III,Jon Snow,Gilly,F,A,,Gilly,,,,
A Clash of Kings,335,Jon III,Jon Snow,Nella,F,U,,Nella,,,,
A Clash of Kings,336,Jon III,Jon Snow,"Bernarr, Brown Bernarr",M,D,,Bernarr,,,Brown Bernarr,
A Clash of Kings,340,Jon III,Jon Snow,King Raymun Redbeard,M,D,King,Raymun,Redbeard,,,
A Clash of Kings,340,Jon III,Jon Snow,"King Bael, The Bard",M,F,King,Bael,,,The Bard,
A Clash of Kings,340,Jon III,Jon Snow,King Gendel,M,F,King,Gendel,,,,
A Clash of Kings,340,Jon III,Jon Snow,King Gorne,M,F,King,Gorne,,,,
A Clash of Kings,340,Jon III,Jon Snow,Joramun,M,F,,Joramun,,,,
A Clash of Kings,343,Theon II,Theon Greyjoy,Esgred,F,A,,Esgred,,,,
A Clash of Kings,343,Theon II,Theon Greyjoy,"Sigrin, The Shipwright",M,A,,Sigrin,,,The Shipwright,
A Clash of Kings,346,Theon II,Theon Greyjoy,Otter Gimpknee,M,A,,Otter,Gimpknee,,,
A Clash of Kings,346,Theon II,Theon Greyjoy,Bluetooth,M,A,,Bluetooth,,,,
A Clash of Kings,347,Theon II,Theon Greyjoy,Rymolf Stormdrunk,M,A,,Rymolf,Stormdrunk,,,
A Clash of Kings,347,Theon II,Theon Greyjoy,Uller,M,A,,Uller,,,,
A Clash of Kings,347,Theon II,Theon Greyjoy,"Qarl, The Maid",M,A,,Qarl,,,The Maid,
A Clash of Kings,347,Theon II,Theon Greyjoy,Skyte,M,A,,Skyte,,,,
A Clash of Kings,347,Theon II,Theon Greyjoy,Eldiss,M,D,,Eldiss,,,,
A Clash of Kings,348,Theon II,Theon Greyjoy,Wex Pyke,M,A,,Wex,Pyke,,,
A Clash of Kings,355,Theon II,Theon Greyjoy,Rolfe,M,A,,Rolfe,,,,
A Clash of Kings,364,Tyrion VI,Tyrion Lannister,Ser Donnel Locke,M,D,Ser,Donnel,Locke,,,
A Clash of Kings,375,Arya VI,Arya Stark,The Tickler,M,D,,?,,,The Tickler,
A Clash of Kings,376,Arya VI,Arya Stark,Chiswyck,M,D,,Chiswyck,,,,
A Clash of Kings,377,Arya VI,Arya Stark,"Rafford, Raff the Sweetling",M,D,,Rafford,,,Raff the Sweetling,
A Clash of Kings,378,Arya VI,Arya Stark,Shitmouth,M,A,,?,,,Shitmouth,
A Clash of Kings,378,Arya VI,Arya Stark,Dunsen,M,A,,Dunsen,,,,
A Clash of Kings,380,Arya VI,Arya Stark,Goodwife Amabel,F,U,Goodwife,Amabel,,,,
A Clash of Kings,380,Arya VI,Arya Stark,Goodwife Harra,F,A,Goodwife,Harra,,,,
A Clash of Kings,381,Arya VI,Arya Stark,Weese,M,D,,Weese,,,,
A Clash of Kings,383,Daenerys II,Daenerys Targaryen,"Saathos, The Wise",M,F,,Saathos,,,The Wise,
A Clash of Kings,389,Daenerys II,Daenerys Targaryen,Captain Quhuru Mo,M,A,Captain,Quhuru,Mo,,,
A Clash of Kings,408,Tyrion VII,Tyrion Lannister,Dancy,F,A,,Dancy,,,,
A Clash of Kings,409,Tyrion VII,Tyrion Lannister,Marei,F,A,,Marei,,,,
A Clash of Kings,415,Arya VII,Arya Stark,"Pia, Pretty Pia",F,A,,Pia,,,Pretty Pia,
A Clash of Kings,415,Arya VII,Arya Stark,Ser Alyn Stackspear,M,A,Ser,Alyn,Stackspear,,,
A Clash of Kings,415,Arya VII,Arya Stark,"Wat, Whitesmile Wat",M,A,,Wat,,,Whitesmile Wat,
A Clash of Kings,415,Arya VII,Arya Stark,Ser Dunaver,M,A,Ser,Dunaver,,,,
A Clash of Kings,415,Arya VII,Arya Stark,Jodge,M,A,,Jodge,,,,
A Clash of Kings,416,Arya VII,Arya Stark,Maester Tothmure,M,D,Maester,Tothmure,,,,
A Clash of Kings,423,Arya VII,Arya Stark,Joss Stilwood,M,A,,Joss,Stilwood,,,
A Clash of Kings,423,Arya VII,Arya Stark,Eggon,M,A,,Eggon,,,,
A Clash of Kings,423,Arya VII,Arya Stark,Layna,F,A,,Layna,,,,
A Clash of Kings,424,Arya VII,Arya Stark,Tobbot,M,A,,Tobbot,,,,
A Clash of Kings,426,Catelyn III,Catelyn Tully,King Durran Godsgrief,M,D,King,Durran,Godsgrief,,,
A Clash of Kings,426,Catelyn III,Catelyn Tully,Elenei,F,D,,Elenei,,,,
A Clash of Kings,445,Sansa III,Sansa Stark,Ser Rupert Brax,M,D,Ser,Rupert,Brax,,,
A Clash of Kings,446,Sansa III,Sansa Stark,Ser Lymond Vikary,M,A,Ser,Lymond,Vikary,,,
A Clash of Kings,446,Sansa III,Sansa Stark,Lord Antario Jast,M,A,Lord,Antario,Jast,,,
A Clash of Kings,446,Sansa III,Sansa Stark,Septon Osmynd,M,D,Septon,Osmynd,,,,
A Clash of Kings,452,Catelyn IV,Catelyn Tully,"Ser Parmen Crane, The Purple",M,A,Ser,Parmen,Crane,,The Purple,
A Clash of Kings,452,Catelyn IV,Catelyn Tully,"Ser Emmon Cuy, The Yellow",M,D,Ser,Emmon,Cuy,,The Yellow,
A Clash of Kings,453,Catelyn IV,Catelyn Tully,Ser Gawen Wylde,M,D,Ser,Gawen,Wylde,,,
A Clash of Kings,478,Tyrion VIII,Tyrion Lannister,Lord Alester Florent,M,D,Lord,Alester,Florent,,,
A Clash of Kings,485,Theon III,Theon Greyjoy,Stygg,M,U,,Stygg,,,,
A Clash of Kings,485,Theon III,Theon Greyjoy,Werlag,M,U,,Werlag,,,,
A Clash of Kings,486,Theon III,Theon Greyjoy,Tymor,M,U,,Tymor,,,,
A Clash of Kings,486,Theon III,Theon Greyjoy,Urzen,M,U,,Urzen,,,,
A Clash of Kings,486,Theon III,Theon Greyjoy,"Lorren, Black Lorren",M,D,,Lorren,,,Black Lorren,
A Clash of Kings,486,Theon III,Theon Greyjoy,Gevin Harlaw,M,A,,Gevin,Harlaw,,,
A Clash of Kings,486,Theon III,Theon Greyjoy,"Maron Botley, Old Botley/Fishwhiskers",M,A,,Maron,Botley,,Old Botley/Fishwhiskers,
A Clash of Kings,486,Theon III,Theon Greyjoy,Todric,M,D,,Todric,,,,
A Clash of Kings,490,Theon III,Theon Greyjoy,"Andrik, The Unsmiling",M,A,,Andrik,,,The Unsmiling,
A Clash of Kings,490,Theon III,Theon Greyjoy,Lord Dunstan Drumm,M,A,Lord,Dunstan,Drumm,,,
A Clash of Kings,496,Arya VIII,Arya Stark,Lucan,M,D,,Lucan,,,,
A Clash of Kings,496,Arya VIII,Arya Stark,Ser Lyonel,M,U,Ser,Lyonel,,,,
A Clash of Kings,496,Arya VIII,Arya Stark,Tuffleberry,M,U,,Tuffleberry,,,,
A Clash of Kings,504,Catelyn V,Catelyn Tully,"Rymund, The Rhymer",M,A,,Rymund,,,The Rhymer,
A Clash of Kings,511,Catelyn V,Catelyn Tully,Enger,M,A,,Enger,,,,
A Clash of Kings,511,Catelyn V,Catelyn Tully,Delp,M,D,,Delp,,,,
A Clash of Kings,511,Catelyn V,Catelyn Tully,"Lew, Long Lew",M,A,,Lew,,,Long Lew,
A Clash of Kings,511,Catelyn V,Catelyn Tully,Poul Pemford,M,D,,Poul,Pemford,,,
A Clash of Kings,511,Catelyn V,Catelyn Tully,Myles,M,D,,Myles,,,,
A Clash of Kings,520,Daenerys III,Daenerys Targaryen,Mathos Mallarawan,M,A,,Mathos,Mallarawan,,,
A Clash of Kings,520,Daenerys III,Daenerys Targaryen,Wendello Qar Deeth,M,A,,Wendello,Qar Deeth,,,
A Clash of Kings,520,Daenerys III,Daenerys Targaryen,"Egon Emeros, The Exquisite",M,A,,Egon,Emeros,,The Exquisite,
A Clash of Kings,533,Tyrion IX,Tyrion Lannister,Ser Osmund Kettleblack,M,A,Ser,Osmund,Kettleblack,,,
A Clash of Kings,533,Tyrion IX,Tyrion Lannister,Osney Kettleblack,M,A,,Osney,Kettleblack,,,
A Clash of Kings,533,Tyrion IX,Tyrion Lannister,Osfryd Kettleblack,M,A,,Osfryd,Kettleblack,,,
A Clash of Kings,547,Davos II,Davos Seaworth,Ser Bryan Fossoway,M,D,Ser,Bryan,Fossoway,,,
A Clash of Kings,550,Davos II,Davos Seaworth,Lord Eldon Estermont,M,A,Lord,Eldon,Estermont,,,
A Clash of Kings,556,Davos II,Davos Seaworth,Ser Erren Florent,M,A,Ser,Erren,Florent,,,
A Clash of Kings,557,Davos II,Davos Seaworth,Lord Elwood Meadows,M,A,Lord,Elwood,Meadows,,,
A Clash of Kings,565,Jon V,Jon Snow,Rattleshirt,M,D,,Rattleshirt,,,,
A Clash of Kings,565,Jon V,Jon Snow,"Harma, The Dogshead",F,D,,Harma,,,The Dogshead,
A Clash of Kings,565,Jon V,Jon Snow,"Alfyn, Crowkiller",M,D,,Alfyn,,,Crowkiller,
A Clash of Kings,569,Jon V,Jon Snow,The Weeping Man,M,A,,?,,,The Weeping Man,
A Clash of Kings,569,Jon V,Jon Snow,Ebben,M,D,,Ebben,,,,
A Clash of Kings,575,Tyrion X,Tyrion Lannister,"Symon, Silver Tongue",M,D,,Symon,,,Silver Tongue,
A Clash of Kings,588,Catelyn VI,Catelyn Tully,Maester Kym,M,D,Maester,Kym,,,,
A Clash of Kings,588,Catelyn VI,Catelyn Tully,Lord Deremond,M,F,Lord,?,Deremond,,,
A Clash of Kings,609,Arya IX,Arya Stark,"Mebble, Pinkeye",M,U,,Mebble,,,Pinkeye,
A Clash of Kings,611,Arya IX,Arya Stark,Ser Aenys Frey,M,D,Ser,Aenys,Frey,,,
A Clash of Kings,611,Arya IX,Arya Stark,Ser Cadwyn,M,A,Ser,Cadwyn,,,,
A Clash of Kings,614,Arya IX,Arya Stark,"Ben, Blackthumb",M,A,,Ben,,,Blackthumb,
A Clash of Kings,625,Arya IX,Arya Stark,"Shagwell, The Fool",M,D,,Shagwell,,,The Fool,
A Clash of Kings,640,Tyrion XI,Tyrion Lannister,Holger,M,U,,Holger,,,,
A Clash of Kings,646,Tyrion XI,Tyrion Lannister,Wisdom Pollitor,M,U,Wisdom,Pollitor,,,,
A Clash of Kings,652,Theon IV,Theon Greyjoy,Drennan,M,D,,Drennan,,,,
A Clash of Kings,652,Theon IV,Theon Greyjoy,Squint,M,D,,Squint,,,,
A Clash of Kings,654,Theon IV,Theon Greyjoy,Aggar,M,D,,Aggar,,,,
A Clash of Kings,656,Theon IV,Theon Greyjoy,"Gynir, Rednose",M,D,,Gynir,,,Rednose,
A Clash of Kings,665,Jon VI,Jon Snow,"Dalbridge, Squire Dalbridge",M,D,,Dalbridge,,,Squire Dalbridge,
A Clash of Kings,665,Jon VI,Jon Snow,Stonesnake,M,U,,Stonesnake,,,,
A Clash of Kings,671,Jon VI,Jon Snow,Ygritte,F,D,,Ygritte,,,,
A Clash of Kings,674,Jon VI,Jon Snow,"Lord Brandon Stark, The Daughterless",M,D,Lord,Brandon,Stark,,The Daughterless,
A Clash of Kings,721,Catelyn VII,Catelyn Tully,Jeffory Mallister,M,D,,Jeffory,Mallister,,,
A Clash of Kings,721,Catelyn VII,Catelyn Tully,Kyle Royce,M,D,,Kyle,Royce,,,
A Clash of Kings,721,Catelyn VII,Catelyn Tully,Elbert Arryn,M,D,,Elbert,Arryn,,,
A Clash of Kings,725,Theon V,Theon Greyjoy,Kromm,M,U,,Kromm,,,,
A Clash of Kings,726,Theon V,Theon Greyjoy,Cadwyl,M,U,,Cadwyl,,,,
A Clash of Kings,740,Davos III,Davos Seaworth,Ser Imry Florent,M,D,Ser,Imry,Florent,,,
A Clash of Kings,758,Tyrion XIII,Tyrion Lannister,Ser Arneld,M,U,Ser,Arneld,,,,
A Clash of Kings,787,Daenerys V,Daenerys Targaryen,"Urrathon, Night-walker",M,U,,Urrathon,,,Night-walker,
A Clash of Kings,787,Daenerys V,Daenerys Targaryen,"Sybassion, Eater of Eyes",M,A,,Sybassion,,,Eater of Eyes,
A Clash of Kings,796,Daenerys V,Daenerys Targaryen,"Belwas, Strong Belwas",M,A,,Belwas,,,Strong Belwas,
A Clash of Kings,802,Arya X,Arya Stark,"Walton, Steelshanks",M,A,,Walton,,,Steelshanks,
A Clash of Kings,802,Arya X,Arya Stark,Septon Utt,M,D,Septon,Utt,,,,
A Clash of Kings,802,Arya X,Arya Stark,Qyburn,M,A,,Qyburn,,,,
A Clash of Kings,802,Arya X,Arya Stark,"Urswyck, Faithful Urswyck",M,U,,Urswyck,,,Faithful Urswyck,
A Clash of Kings,802,Arya X,Arya Stark,Ser Harys Haigh,M,A,Ser,Harys,Haigh,,,
A Clash of Kings,820,Sansa VIII,Sansa Stark,Ser Philip Foote,M,A,Ser,Philip,Foote,,,
A Clash of Kings,820,Sansa VIII,Sansa Stark,Ser Edwyd Fossoway,M,D,Ser,Edwyd,Fossoway,,,
A Clash of Kings,821,Sansa VIII,Sansa Stark,Willit,M,A,,Willit,,,,
A Clash of Kings,821,Sansa VIII,Sansa Stark,"Josmyn Peckledon, Peck",M,A,,Josmyn,Peckledon,,Peck,
A Clash of Kings,823,Sansa VIII,Sansa Stark,"Ser Bonifer Hasty, The Good",M,A,Ser,Bonifer,Hasty,,The Good,
A Clash of Kings,823,Sansa VIII,Sansa Stark,"Ser Dermot, Of the Rainwood",M,A,Ser,Dermot,,,Of the Rainwood,
A Clash of Kings,823,Sansa VIII,Sansa Stark,"Ser Timon, The Scrapesword",M,A,Ser,Timon,,,The Scrapesword,
A Clash of Kings,823,Sansa VIII,Sansa Stark,"Aurane Waters, Bastard of Driftmark",M,A,,Aurane,Waters,,Bastard of Driftmark,
A Clash of Kings,828,Theon VI,Theon Greyjoy,Dykk Harlaw,M,U,,Dykk,Harlaw,,,
A Clash of Kings,828,Theon VI,Theon Greyjoy,Endehar,M,U,,Endehar,,,,
A Clash of Kings,829,Theon VI,Theon Greyjoy,"Rolfe, Red Rolfe",M,D,,Rolfe,,,Red Rolfe,
A Clash of Kings,829,Theon VI,Theon Greyjoy,"Harrag Sharp, Sheepstealer",M,D,,Harrag,Sharp,,Sheepstealer,
A Clash of Kings,829,Theon VI,Theon Greyjoy,"Kenned, The Whale",M,D,,Kenned,,,The Whale,
A Clash of Kings,838,Theon VI,Theon Greyjoy,"Ramsay Snow, The Bastard of Bolton",M,A,,Ramsay,Snow,,The Bastard of Bolton,
A Clash of Kings,846,Tyrion XV,Tyrion Lannister,Maester Ballabar,M,A,Maester,Ballabar,,,,
A Clash of Kings,859,Jon VIII,Jon Snow,Ragwyle,M,U,,Ragwyle,,,,
A Clash of Kings,865,Bran VII,Bran Stark,Lord Edwyle Stark,M,D,Lord,Edwyle,Stark,,,
A Clash of Kings,865,Bran VII,Bran Stark,Lord Willam Stark,M,D,Lord,Willam,Stark,,,
A Clash of Kings,865,Bran VII,Bran Stark,"Artos Stark, The Implacable",M,D,,Artos,Stark,,The Implacable,
A Clash of Kings,865,Bran VII,Bran Stark,Lord Donnor Stark,M,D,Lord,Donnor,Stark,,,
A Clash of Kings,865,Bran VII,Bran Stark,Lord Beron Stark,M,D,Lord,Beron,Stark,,,
A Clash of Kings,865,Bran VII,Bran Stark,Lord Rodwell Stark,M,D,Lord,Rodwell,Stark,,,
A Clash of Kings,865,Bran VII,Bran Stark,Lord Jonnel Stark,M,D,Lord,Jonnel,Stark,,,
A Clash of Kings,865,Bran VII,Bran Stark,Lord Barth Stark,M,D,Lord,Barth,Stark,,,
A Clash of Kings,865,Bran VII,Bran Stark,"King Edwyn Stark, The Spring King",M,D,King,Edwyn,Stark,,The Spring King,
A Clash of Kings,866,Bran VII,Bran Stark,King Jorah Stark,M,D,King,Jorah,Stark,,,
A Clash of Kings,866,Bran VII,Bran Stark,King Jonos Stark,M,D,King,Jonos,Stark,,,
A Clash of Kings,866,Bran VII,Bran Stark,"King Brandon Stark, The Bad",M,D,King,Brandon,Stark,,The Bad,
A Clash of Kings,866,Bran VII,Bran Stark,"King Walton Stark, The Moon King",M,D,King,Walton,Stark,,The Moon King,
A Clash of Kings,866,Bran VII,Bran Stark,"King Edderion Stark, The Bridegroom",M,D,King,Edderion,Stark,,The Bridegroom,
A Clash of Kings,866,Bran VII,Bran Stark,King Eyron Stark,M,D,King,Eyron,Stark,,,
A Clash of Kings,866,Bran VII,Bran Stark,"King Benjen Stark, The Sweet",M,D,King,Benjen,Stark,,The Sweet,
A Clash of Kings,866,Bran VII,Bran Stark,"King Benjen Stark, The Bitter",M,D,King,Benjen,Stark,,The Bitter,
A Clash of Kings,866,Bran VII,Bran Stark,"King Edrick Stark, Snowbeard",M,D,King,Edrick,Stark,,Snowbeard,
A Clash of Kings,880,Appendix,N/A,Ser Aemon Estermont,M,A,Ser,Aemon,Estermont,,,
A Clash of Kings,880,Appendix,N/A,Ser Alyn Estermont,M,A,Ser,Alyn,Estermont,,,
A Clash of Kings,880,Appendix,N/A,Lady Shyra Errol,F,D,Lady,Shyra,Errol,,,
A Clash of Kings,881,Appendix,N/A,Ser Donnel Swann,M,A,Ser,Donnel,Swann,,,
A Clash of Kings,881,Appendix,N/A,Maester Jurne,M,A,Maester,Jurne,,,,
A Clash of Kings,882,Appendix,N/A,Ser Lomas Estermont,M,A,Ser,Lomas,Estermont,,,
A Clash of Kings,882,Appendix,N/A,Ser Andrew Estermont,M,A,Ser,Andrew,Estermont,,,
A Clash of Kings,883,Appendix,N/A,Stannis Seaworth,M,A,,Stannis,Seaworth,,,
A Clash of Kings,883,Appendix,N/A,Steffon Seaworth,M,A,,Steffon,Seaworth,,,
A Clash of Kings,887,Appendix,N/A,Lyman Darry,M,D,,Lyman,Darry,,,
A Clash of Kings,887,Appendix,N/A,Ser Halmon Paege,M,A,Ser,Halmon,Paege,,,
A Clash of Kings,887,Appendix,N/A,Berena Tallhart (Hornwood),F,A,,Berena,Tallhart,Hornwood,,
A Clash of Kings,887,Appendix,N/A,Brandon Tallhart,M,A,,Brandon,Tallhart,,,
A Clash of Kings,887,Appendix,N/A,Eddara Tallhart,F,A,,Eddara,Tallhart,,,
A Clash of Kings,887,Appendix,N/A,Lady Sybelle Glover (Locke),F,A,Lady,Sybelle,Glover,Locke,,
A Clash of Kings,887,Appendix,N/A,Gawen Glover,M,A,,Gawen,Glover,,,
A Clash of Kings,887,Appendix,N/A,Erena Glover,F,A,,Erena,Glover,,,
A Clash of Kings,894,Appendix,N/A,"Ser Robert Brax, Brother of Flement",M,D,Ser,Robert,Brax,,Brother of Flement,
A Clash of Kings,896,Appendix,N/A,Captain Igon Vyrwel,M,A,Captain,Igon,Vyrwel,,,
A Clash of Kings,896,Appendix,N/A,Butterbumps,M,A,,Butterbumps,,,,
A Clash of Kings,899,Appendix,N/A,Lady Melara Florent (Crane),F,A,Lady,Melara,Florent,Crane,,
A Clash of Kings,899,Appendix,N/A,Alekyne Florent,M,A,,Alekyne,Florent,,,
A Clash of Kings,899,Appendix,N/A,Lady Melessa Tarly (Florent),F,A,Lady,Melessa,Tarly,Florent,,
A Clash of Kings,899,Appendix,N/A,Lady Rhea Hightower (Florent),F,A,Lady,Rhea,Hightower,Florent,,
A Clash of Kings,899,Appendix,N/A,Ser Ryam Florent,M,D,Ser,Ryam,Florent,,,
A Clash of Kings,899,Appendix,N/A,Ser Colin Florent,M,A,Ser,Colin,Florent,,,
A Clash of Kings,899,Appendix,N/A,Ser Hosman Norcross,M,A,Ser,Hosman,Norcross,,,
A Clash of Kings,899,Appendix,N/A,Alester Norcross,M,A,,Alester,Norcross,,,
A Clash of Kings,899,Appendix,N/A,Renly Norcross,M,A,,Renly,Norcross,,,
A Clash of Kings,900,Appendix,N/A,Maester Omer (Florent),M,A,Maester,Omer,,Florent,,
A Clash of Kings,900,Appendix,N/A,Merrell Florent,M,A,,Merrell,Florent,,,
A Clash of Kings,900,Appendix,N/A,Rylene Crane (Florent),F,A,,Rylene,Crane,Florent,,
A Clash of Kings,900,Appendix,N/A,Ser Rycherd Crane,M,A,Ser,Rycherd,Crane,,,
A Clash of Kings,902,Appendix,N/A,Lord Waldon Wynch,M,A,Lord,Waldon,Wynch,,,
A Clash of Kings,902,Appendix,N/A,"Lord Rodrik Harlaw, The Reader",M,A,Lord,Rodrik,Harlaw,,The Reader,
A Clash of Kings,902,Appendix,N/A,"Lord Stonehouse, The Stonehouse",M,A,Lord,?,Stonehouse,,The Stonehouse,
A Clash of Kings,902,Appendix,N/A,Lord Norne Goodbrother,M,A,Lord,Norne,Goodbrother,,,
A Clash of Kings,902,Appendix,N/A,"Lord Meldred Merlyn, The Merlyn",M,A,Lord,Meldred,Merlyn,,The Merlyn,
A Clash of Kings,902,Appendix,N/A,"Lord Sparr, The Sparr",M,A,Lord,?,Sparr,,The Sparr,
A Clash of Kings,902,Appendix,N/A,Lord Baelor Blacktyde,M,D,Lord,Baelor,Blacktyde,,,
A Clash of Kings,902,Appendix,N/A,Lord Donnor Saltcliffe,M,A,Lord,Donnor,Saltcliffe,,,
A Clash of Kings,902,Appendix,N/A,Lord Sunderly,M,A,Lord,?,Sunderly,,,
A Clash of Kings,903,Appendix,N/A,Ser Marwyn Belmore,M,A,Ser,Marwyn,Belmore,,,
A Clash of Kings,904,Appendix,N/A,"Myranda Royce, Randa",F,A,,Myranda,Royce,,Randa,
A Clash of Kings,905,Appendix,N/A,Lady Perra Frey (Royce),F,D,Lady,Perra,Frey,Royce,,
A Clash of Kings,905,Appendix,N/A,Lady Corenna Frey (Swann),F,D,Lady,Corenna,Frey,Swann,,
A Clash of Kings,905,Appendix,N/A,Ser Ryman Frey,M,D,Ser,Ryman,Frey,,,
A Clash of Kings,905,Appendix,N/A,Edwyn Frey,M,A,,Edwyn,Frey,,,
A Clash of Kings,905,Appendix,N/A,Janyce Frey (Hunter),F,A,,Janyce,Frey,Hunter,,
A Clash of Kings,905,Appendix,N/A,"Walda Frey, Daughter of Edwyn",F,A,,Walda,Frey,,Daughter of Edwyn,
A Clash of Kings,905,Appendix,N/A,"Petyr Frey, Petyr Pimple",M,D,,Petyr,Frey,,Petyr Pimple,
A Clash of Kings,905,Appendix,N/A,Mylenda Frey (Caron),F,A,,Mylenda,Frey,Caron,,
A Clash of Kings,905,Appendix,N/A,"Perra Frey, Daughter of Petyr",F,A,,Perra,Frey,,Daughter of Petyr,
A Clash of Kings,905,Appendix,N/A,Lady Jeyne Frey (Lydden),F,D,Lady,Jeyne,Frey,Lydden,,
A Clash of Kings,905,Appendix,N/A,"Aegon Frey, Jinglebell",M,D,,Aegon,Frey,,Jinglebell,
A Clash of Kings,906,Appendix,N/A,Maegelle Vance (Frey),F,D,,Maegelle,Vance,Frey,,
A Clash of Kings,906,Appendix,N/A,Ser Dafyn Vance,M,A,Ser,Dafyn,Vance,,,
A Clash of Kings,906,Appendix,N/A,Marianne Vance,F,A,,Marianne,Vance,,,
A Clash of Kings,906,Appendix,N/A,Walder Vance,M,A,,Walder,Vance,,,
A Clash of Kings,906,Appendix,N/A,Patrek Vance,M,A,,Patrek,Vance,,,
A Clash of Kings,906,Appendix,N/A,Marsella Frey (Waynwood),F,D,,Marsella,Frey,Waynwood,,
A Clash of Kings,906,Appendix,N/A,"Walton Frey, Son of Stevron",M,A,,Walton,Frey,,Son of Stevron,
A Clash of Kings,906,Appendix,N/A,Deana Frey (Hardyng),F,A,,Deana,Frey,Hardyng,,
A Clash of Kings,906,Appendix,N/A,"Steffon Frey, Son of Walton, The Sweet",M,A,,Steffon,Frey,,"Son of Walton, The Sweet",
A Clash of Kings,906,Appendix,N/A,"Walda Frey, Daughter of Walton, Fair Walda",F,A,,Walda,Frey,,"Daughter of Walton, Fair Walda",
A Clash of Kings,906,Appendix,N/A,Bryan Frey,M,A,,Bryan,Frey,,,
A Clash of Kings,906,Appendix,N/A,"Tywin Frey, Son of Ser Cleos",M,A,,Tywin,Frey,,Son of Ser Cleos,
A Clash of Kings,906,Appendix,N/A,Willem Frey,M,A,,Willem,Frey,,,
A Clash of Kings,906,Appendix,N/A,Melesa Frey (Crakehall),F,A,,Melesa,Frey,Crakehall,,
A Clash of Kings,906,Appendix,N/A,Tyana Frey (Wylde),F,A,,Tyana,Frey,Wylde,,
A Clash of Kings,906,Appendix,N/A,"Aegon Frey, Son of Aenys, Bloodborn",M,A,,Aegon,Frey,,"Son of Aenys, Bloodborn",
A Clash of Kings,906,Appendix,N/A,"Rhaegar Frey, Son of Aenys",M,D,,Rhaegar,Frey,,Son of Aenys,
A Clash of Kings,906,Appendix,N/A,"Jeyne Frey (Beesbury), Wife of Stevron",F,D,,Jeyne,Frey,Beesbury,Wife of Stevron,
A Clash of Kings,906,Appendix,N/A,"Robert Frey, Son of Rhaegar Frey",M,A,,Robert,Frey,,Son of Rhaegar Frey,
A Clash of Kings,906,Appendix,N/A,"Walda Frey, Daughter of Rhaegar Frey, White Walda",F,A,,Walda,Frey,,"Daughter of Rhaegar Frey, White Walda",
A Clash of Kings,906,Appendix,N/A,Jonos Frey,M,A,,Jonos,Frey,,,
A Clash of Kings,906,Appendix,N/A,Perriane Haigh (Frey),F,A,,Perriane,Haigh,Frey,,
A Clash of Kings,906,Appendix,N/A,Ser Leslyn Haigh,M,A,Ser,Leslyn,Haigh,,,
A Clash of Kings,906,Appendix,N/A,Walder Haigh,M,A,,Walder,Haigh,,,
A Clash of Kings,906,Appendix,N/A,Ser Donnel Haigh,M,A,Ser,Donnel,Haigh,,,
A Clash of Kings,906,Appendix,N/A,Alyn Haigh,M,A,,Alyn,Haigh,,,
A Clash of Kings,906,Appendix,N/A,Lady Cyrenna Frey (Swann),F,D,Lady,Cyrenna,Frey,Swann,,
