Book	Page	Chapter Name	POV	Full name	Gender	Status	Birth	Death	Culture	Title	Forename	Surname	Old Surname	Alias	Regnal No
A Clash of Kings	787	Daenerys V	Daenerys Targaryen	Urrathon, Night-walker	M	U	?		Qartheen		Urrathon			Night-walker	
A Clash of Kings	787	Daenerys V	Daenerys Targaryen	Sybassion, Eater of Eyes	M	A	?		Qartheen		Sybassion			Blind Sybassion the Eater of Eyes	
A Clash of Kings	793	Daenerys V	Daenerys Targaryen	Belwas, Strong Belwas	M	A	?		Ghiscari		Belwas			Strong Belwas	
A Clash of Kings	802	Arya X	Arya Stark	Walton, Steelshanks	M	A	?		Northmen	Captain (army)	Walton			Steelshanks	
A Clash of Kings	802	Arya X	Arya Stark	Septon Utt	M	D	?	299 AC	?	Septon, Lieutenant	Utt				
A Clash of Kings	802	Arya X	Arya Stark	Qyburn	M	A	217 AC or after		?	Maester (expelled), Master of whisperers	Qyburn			The Bloody Maester, Lord Qyburn	
A Clash of Kings	802	Arya X	Arya Stark	Urswyck, Faithful Urswyck	M	U	?		?	Lieutenant	Urswyck			Faithful Urswyck	
A Clash of Kings	805	Arya X	Arya Stark	Ser Harys Haigh	M	A	254 - 282 AC		Rivermen	Ser	Harys	Haigh			
A Clash of Kings	805	Arya X	Arya Stark	Perriane Frey/Haigh, Ser Harys's mother	F	A	241 - 249 AC		Rivermen		Perriane	Haigh	Frey		
A Clash of Kings	821	Sansa VIII	Sansa Stark	Lord Philip Foote	M	A	?		Westermen	Ser, Lord	Philip	Foote			
A Clash of Kings	821	Sansa VIII	Sansa Stark	Ser Edwyd Fossoway	M	D	?	299 AC	Reachmen	Ser	Edwyd	Fossoway			
A Clash of Kings	821	Sansa VIII	Sansa Stark	Willit	M	A	?		Westermen	Goodman	Willit				
A Clash of Kings	821	Sansa VIII	Sansa Stark	Josmyn Peckledon, Peck	M	A	284 - 285 AC		Westermen	Squire	Josmyn	Peckledon		Peck	
A Clash of Kings	823	Sansa VIII	Sansa Stark	Ser Bonifer Hasty, The Good	M	A	?		Stormlander	Ser, Castellan, Commander of the Holy Hundred	Bonifer	Hasty		Bonifer the Good, Baelor Butthole	
A Clash of Kings	823	Sansa VIII	Sansa Stark	Ser Dermot, Of the Rainwood	M	A	?		Stormlander	Ser	Dermot			Of the Rainwood	
A Clash of Kings	823	Sansa VIII	Sansa Stark	Ser Timon, The Scrapesword	M	A	?		?	Ser	Timon			The Scrapesword	
A Clash of Kings	823	Sansa VIII	Sansa Stark	Aurane Waters, Bastard of Driftmark	M	A	277 - 278 AC		Crownlander	Grand admiral, Lord	Aurane	Waters		Bastard of Driftmark	
A Clash of Kings	823	Sansa VIII	Sansa Stark	Lord Alesander Staedmon, Pennylover	M	A	?		Stormlander	Lord	Alesander	Staedmon		Pennylover	
A Clash of Kings	829	Theon VI	Theon Greyjoy	Dykk Harlaw	M	D	?	299 AC	Ironborn		Dykk	Harlaw			
A Clash of Kings	829	Theon VI	Theon Greyjoy	Endehar	M	U	?		Ironborn		Endehar				
A Clash of Kings	829	Theon VI	Theon Greyjoy	Rolfe, Red Rolfe	M	D	?	299 AC	Ironborn		Rolfe			Red Rolfe	
A Clash of Kings	829	Theon VI	Theon Greyjoy	Ulf the ill	M	D	?	299 AC	Ironborn		Ulf			The Ill	
A Clash of Kings	829	Theon VI	Theon Greyjoy	Harrag Sharp, Sheepstealer	M	D	?	299 AC	Ironborn		Harrag	Sharp		Sheepstealer	
A Clash of Kings	829	Theon VI	Theon Greyjoy	Kenned, The Whale	M	D	?	299 AC	Ironborn		Kenned			The Whale	
A Clash of Kings	843	Tyrion XV	Tyrion Lannister	Maester Ballabar	M	A	?		?	Maester at The Arbor	Ballabar				
A Clash of Kings	860	Jon VIII	Jon Snow	Ragwyle	F	U	?		Free Folk		Ragwyle				
A Clash of Kings	865	Bran VII	Bran Stark	Lord Edwyle Stark	M	H	?	?	Northmen	Lord	Edwyle	Stark			
A Clash of Kings	865	Bran VII	Bran Stark	Artos Stark, The Implacable	M	H	?	After 226 AC	Northmen		Artos	Stark		The Implacable	
A Clash of Kings	865	Bran VII	Bran Stark	Lord Donnor Stark	M	H	?	211 - 226 AC	Northmen	Lord	Donnor	Stark			
A Clash of Kings	865	Bran VII	Bran Stark	Lord Beron Stark	M	H	?	211 - 226 AC	Northmen	Lord	Beron	Stark			
A Clash of Kings	865	Bran VII	Bran Stark	Lord Rodwell Stark	M	H	?	211 AC or before	Northmen	Lord	Rodwell	Stark			
A Clash of Kings	866	Bran VII	Bran Stark	Lord Jonnel Stark	M	H	?	?	Northmen	Lord	Jonnel	Stark		One-Eye	
A Clash of Kings	866	Bran VII	Bran Stark	Lord Barthogan Stark	M	H	?	?	Northmen	Lord	Barthogan	Stark		Barth Blacksword	
A Clash of Kings	866	Bran VII	Bran Stark	Lord Brandon Stark, son of Cregan Stark	M	H	?	?	Northmen	Lord	Brandon	Stark			
A Clash of Kings	867	Bran VII	Bran Stark	King Edwyn Stark, The Spring King	M	H	?		Northmen	King, Lord	Edwyn	Stark		The Spring King	
A Clash of Kings	867	Bran VII	Bran Stark	King Jorah Stark	M	H	?		Northmen	King, Lord	Jorah	Stark			
A Clash of Kings	867	Bran VII	Bran Stark	King Jonos Stark	M	H	?		Northmen	King, Lord	Jonos	Stark			
A Clash of Kings	867	Bran VII	Bran Stark	King Brandon Stark, The Bad	M	H	?		Northmen	King, Lord	Brandon	Stark		The Bad	
A Clash of Kings	867	Bran VII	Bran Stark	King Walton Stark, The Moon King	M	H	?		Northmen	King, Lord	Walton	Stark		The Moon King	
A Clash of Kings	867	Bran VII	Bran Stark	King Edderion Stark, The Bridegroom	M	H	?		Northmen	King, Lord	Edderion	Stark		The Bridegroom	
A Clash of Kings	867	Bran VII	Bran Stark	King Eyron Stark	M	H	?		Northmen	King, Lord	Eyron	Stark			
A Clash of Kings	867	Bran VII	Bran Stark	King Benjen Stark, The Sweet	M	H	?		Northmen	King, Lord	Benjen	Stark		The Sweet	
A Clash of Kings	867	Bran VII	Bran Stark	King Benjen Stark, The Bitter	M	H	?		Northmen	King, Lord	Benjen	Stark		The Bitter	
A Clash of Kings	867	Bran VII	Bran Stark	King Edrick Stark, Snowbeard	M	H	Andal Invasion		Northmen	King, Lord	Edrick	Stark		Snowbeard	
A Clash of Kings	879	Appendix	N/A	Calor	M	U	?		Vale mountain clans		Calor				
A Clash of Kings	882	Appendix	N/A	Ser Aemon Estermont	M	A	?		Stormlander	Ser	Aemon	Estermont			
A Clash of Kings	882	Appendix	N/A	Ser Alyn Estermont	M	A	?		Stormlander	Ser	Alyn	Estermont			
A Clash of Kings	882	Appendix	N/A	Lady Shyra Errol	F	D	?	299 AC	Stormlander	Lady	Shyra	Errol			
A Clash of Kings	884	Appendix	N/A	Ser Lomas Estermont	M	A	?		Stormlander	Ser	Lomas	Estermont			
A Clash of Kings	884	Appendix	N/A	Ser Andrew Estermont	M	A	?		Stormlander	Ser, Squire	Andrew	Estermont			
A Clash of Kings	889	Appendix	N/A	Ser Halmon Paege	M	A	?		Rivermen	Ser	Halmon	Paege			
A Clash of Kings	889	Appendix	N/A	Brandon Tallhart	M	A	284 or 285 AC		Northmen		Brandon	Tallhart			
A Clash of Kings	889	Appendix	N/A	Lady Eddara Tallhart	F	A	289 or 290 AC		Northmen	Lady	Eddara	Tallhart			
A Clash of Kings	889	Appendix	N/A	Gawen Glover	M	A	295 or 296 AC		Northmen		Gawen	Glover			
A Clash of Kings	889	Appendix	N/A	Erena Glover	F	B	297 or 298 AC		Northmen		Erena	Glover			
A Clash of Kings	896	Appendix	N/A	Ser Robert Brax, Brother of Flement	M	D	?	299 AC	Westermen	Ser	Robert	Brax		Brother of Flement	
A Clash of Kings	898	Appendix	N/A	Igon Vyrwel	M	A	?		Reachmen	Captain of the guards	Igon	Vyrwel			
A Clash of Kings	898	Appendix	N/A	Butterbumps	M	A	?		?		Butterbumps				
A Clash of Kings	901	Appendix	N/A	Lady Melara Crane/Florent	F	A	?		Reachmen	Lady	Melara	Florent	Crane		
A Clash of Kings	901	Appendix	N/A	Lady Rhea Florent/Hightower	F	A	?		Reachmen	Lady	Rhea	Hightower	Florent		
A Clash of Kings	901	Appendix	N/A	Ser Ryam Florent	M	D	?		Reachmen	Ser	Ryam	Florent			
A Clash of Kings	901	Appendix	N/A	Ser Hosman Norcross	M	A	?		Reachmen	Ser	Hosman	Norcross			
A Clash of Kings	901	Appendix	N/A	Alester Norcross	M	A	290 or 291 AC		Reachmen		Alester	Norcross			
A Clash of Kings	901	Appendix	N/A	Renly Norcross	M	A	296 or 297 AC		Reachmen		Renly	Norcross			
A Clash of Kings	901	Appendix	N/A	Rylene Florent/Crane	F	A	?		Reachmen		Rylene	Crane	Florent		
A Clash of Kings	901	Appendix	N/A	Ser Rycherd Crane	M	A	?		Reachmen	Ser	Rycherd	Crane			
A Clash of Kings	904	Appendix	N/A	Lord Waldon Wynch	M	A	?		Ironborn	Lord	Waldon	Wynch			
A Clash of Kings	904	Appendix	N/A	Lord Rodrik Harlaw, The Reader	M	A	?		Ironborn	Lord, Captain of Sea Song	Rodrik	Harlaw		The Reader	
A Clash of Kings	904	Appendix	N/A	Lord Norne Goodbrother	M	A	?		Ironborn	Lord	Norne	Goodbrother			
A Clash of Kings	904	Appendix	N/A	Lord Meldred Merlyn, The Merlyn	M	A	?		Ironborn	Lord	Meldred	Merlyn		The Merlyn	
A Clash of Kings	904	Appendix	N/A	Lord Baelor Blacktyde	M	D	?	300 AC	Ironborn	Lord, Captain of Nightflyer	Baelor	Blacktyde			
A Clash of Kings	904	Appendix	N/A	Lord Donnor Saltcliffe	M	A	?		Ironborn	Lord	Donnor	Saltcliffe			
A Clash of Kings	905	Appendix	N/A	Ser Marwyn Belmore	M	A	?		Valemen	Ser, Captain of the guards	Marwyn	Belmore		Ser Ding-Dong	
A Clash of Kings	906	Appendix	N/A	Myranda Royce, Randa	F	A	Roughly 279 AC		Valemen		Myranda	Royce		Randa	
A Clash of Kings	907	Appendix	N/A	Corenna Swann/Frey	F	H	?	?	Stormlander		Corenna	Frey	Swann		
A Clash of Kings	907	Appendix	N/A	Edwyn Frey	M	A	259 - 278 AC		Rivermen		Edwyn	Frey			
A Clash of Kings	907	Appendix	N/A	Janyce Hunter/Frey	F	A	?		Valemen		Janyce	Frey	Hunter		
A Clash of Kings	907	Appendix	N/A	Walda Frey, Daughter of Edwyn	F	A	290 - 291 AC		Rivermen		Walda	Frey		Daughter of Edwyn	
A Clash of Kings	907	Appendix	N/A	Petyr Frey, Petyr Pimple	M	D	281 AC	300 AC	Rivermen		Petyr	Frey		Petyr Pimple	
A Clash of Kings	907	Appendix	N/A	Mylenda Caron/Frey	F	A	258 - 265 AC		Stormlander		Mylenda	Frey	Caron		
A Clash of Kings	907	Appendix	N/A	Perra Frey, Daughter of Petyr	F	A	294 AC		Rivermen		Perra	Frey		Daughter of Petyr	
A Clash of Kings	907	Appendix	N/A	Jeyne Lydden/Frey	F	H	?	?	Westermen		Jeyne	Frey	Lydden		
A Clash of Kings	907	Appendix	N/A	Aegon Frey, Jinglebell	M	D	Roughly 249 AC	299 AC	Rivermen		Aegon	Frey		Jinglebell	
A Clash of Kings	908	Appendix	N/A	Maegelle Frey/Vance	F	H	249 - 267 AC	?	Rivermen		Maegelle	Vance	Frey		
A Clash of Kings	908	Appendix	N/A	Ser Dafyn Vance	M	A	?		Rivermen	Ser	Dafyn	Vance			
A Clash of Kings	908	Appendix	N/A	Marianne Vance	F	A	262 - 293 AC		Rivermen		Marianne	Vance			
A Clash of Kings	908	Appendix	N/A	Walder Vance	M	A	263 - 291 AC		Rivermen	Squire	Walder	Vance			
A Clash of Kings	908	Appendix	N/A	Patrek Vance	M	A	264 - 294 AC		Rivermen		Patrek	Vance			
A Clash of Kings	908	Appendix	N/A	Marsella Waynwood/Frey	F	H	?	?	Valemen		Marsella	Frey	Waynwood		
A Clash of Kings	908	Appendix	N/A	Walton Frey, Son of Stevron	M	A	249 - 267 AC		Rivermen		Walton	Frey		Son of Stevron	
A Clash of Kings	908	Appendix	N/A	Deana Hardyng/Frey	F	A	?		Valemen		Deana	Frey	Hardyng		
A Clash of Kings	908	Appendix	N/A	Steffon Frey, Son of Walton, The Sweet	M	A	263 - 280 AC		Rivermen		Steffon	Frey		Son of Walton, The Sweet	
A Clash of Kings	908	Appendix	N/A	Walda Frey, Fair Walda	F	A	280 or 281 AC		Rivermen		Walda	Frey		Daughter of Walton, Fair Walda	
A Clash of Kings	908	Appendix	N/A	Bryan Frey	M	A	280 or 281 AC		Rivermen	Squire	Bryan	Frey			
A Clash of Kings	908	Appendix	N/A	Tywin Frey, Son of Ser Cleos	M	A	287 or 288 AC		Rivermen	Squire, Ser (not sure)	Tywin	Frey		Ty	
A Clash of Kings	908	Appendix	N/A	Willem Frey	M	A	289 or 290 AC		Rivermen	Squire, Page	Willem	Frey			
A Clash of Kings	908	Appendix	N/A	Melesa Crakehall/Frey	F	A	?		Westermen		Melesa	Frey	Crakehall		
A Clash of Kings	908	Appendix	N/A	Tyana Wylde/Frey	F	H	?	?	Stormlander		Tyana	Frey	Wylde		
A Clash of Kings	908	Appendix	N/A	Aegon Frey, Son of Aenys, Bloodborn	M	A	253 - 272 AC		Rivermen		Aegon	Frey		Son of Aenys, Bloodborn	
A Clash of Kings	908	Appendix	N/A	Rhaegar Frey, Son of Aenys	M	D	269 - 273 AC	300 AC suspected	Rivermen		Rhaegar	Frey		Son of Aenys	
A Clash of Kings	908	Appendix	N/A	Jeyne Beesbury/Frey, Wife of Rhaegar	F	H	?	?	Reachmen		Jeyne	Frey	Beesbury	Wife of Rhaegar	
A Clash of Kings	908	Appendix	N/A	Robert Frey, Son of Rhaegar Frey	M	A	286 AC		Rivermen		Robert	Frey		Son of Rhaegar Frey	
A Clash of Kings	908	Appendix	N/A	Walda Frey, White Walda	F	A	288 or 289 AC		Rivermen		Walda	Frey		Daughter of Rhaegar Frey, White Walda	
A Clash of Kings	908	Appendix	N/A	Jonos Frey	M	A	291 AC		Rivermen		Jonos	Frey			
A Clash of Kings	908	Appendix	N/A	Ser Leslyn Haigh	M	A	?		Rivermen	Ser	Leslyn	Haigh			
A Clash of Kings	908	Appendix	N/A	Walder Haigh	M	A	294 or 295 AC		Rivermen		Walder	Haigh			
A Clash of Kings	908	Appendix	N/A	Ser Donnel Haigh	M	A	255 - 282 AC		Rivermen	Ser	Donnel	Haigh			
A Clash of Kings	908	Appendix	N/A	Alyn Haigh	M	A	256 - 291 AC		Rivermen	Squire	Alyn	Haigh			
A Clash of Kings	908	Appendix	N/A	Alys Frey	F	H	?	?	Rivermen		Alys	Frey			
A Clash of Kings	908	Appendix	N/A	Ser Tytos Frey	M	D	261 - 272 AC	299 AC	Rivermen	Ser	Tytos	Frey			
A Clash of Kings	908	Appendix	N/A	Zhoe Blanetree/Frey	F	A	?		Rivermen		Zhoe	Frey	Blanetree		
A Clash of Kings	908	Appendix	N/A	Zia Frey	F	A	285 AC		Rivermen		Zia	Frey			
A Clash of Kings	908	Appendix	N/A	Zachery Frey	M	A	287 AC		Rivermen		Zachery	Frey			
A Clash of Kings	909	Appendix	N/A	Kyra Frey/Goodbrook	F	A	262 - 277 AC		Rivermen		Kyra	Goodbrook	Frey		
A Clash of Kings	909	Appendix	N/A	Ser Garse Goodbrook	M	D	?	299 AC	Rivermen	Ser	Garse	Goodbrook			
A Clash of Kings	909	Appendix	N/A	Walder Goodbrook	M	A	290 AC		Rivermen		Walder	Goodbrook			
A Clash of Kings	909	Appendix	N/A	Jeyne Goodbrook	F	A	293 AC		Rivermen		Jeyne	Goodbrook			
A Clash of Kings	909	Appendix	N/A	Septon Luceon (Frey)	M	A	249 - 258 AC		Rivermen	Septon (Most Devout)	Luceon		Frey		
A Clash of Kings	909	Appendix	N/A	Bellena Hawick/Frey	F	A	?		Rivermen		Bellena	Frey	Hawick		
A Clash of Kings	909	Appendix	N/A	Ser Arwood Frey	M	A	263 - 281 AC		Rivermen	Ser	Arwood	Frey			
A Clash of Kings	909	Appendix	N/A	Ryella Royce/Frey	F	A	?		Valemen		Ryella	Frey	Royce		
A Clash of Kings	909	Appendix	N/A	Ryella Frey, Daughter of Arwood	F	A	294 AC		Rivermen		Ryella	Frey		Daughter of Arwood	
A Clash of Kings	909	Appendix	N/A	Androw Frey	M	A	295 or 296 AC		Rivermen		Androw	Frey			
A Clash of Kings	909	Appendix	N/A	Alyn Frey	M	A	295 or 296 AC		Rivermen		Alyn	Frey			
A Clash of Kings	909	Appendix	N/A	Lady Lythene Frey/Vypren	F	A	251 - 259 AC		Rivermen	Lady	Lythene	Vypren	Frey		
A Clash of Kings	909	Appendix	N/A	Lord Lucias Vypren	M	A	?		Rivermen	Lord	Lucias	Vypren			
A Clash of Kings	909	Appendix	N/A	Elyana Vypren/Wylde	F	A	264 - 282 AC		Rivermen		Elyana	Wylde	Vypren		
A Clash of Kings	909	Appendix	N/A	Ser Jon Wylde	M	A	?		Stormlander	Ser	Jon	Wylde			
A Clash of Kings	909	Appendix	N/A	Rickard Wylde	M	A	295 AC		Stormlander		Rickard	Wylde			
A Clash of Kings	909	Appendix	N/A	Ser Damon Vypren	M	A	265 AC or after		Rivermen	Ser	Damon	Vypren			
A Clash of Kings	909	Appendix	N/A	Symond Frey	M	D	252 - 260 AC	300 AC suspected	Rivermen	Spymaster	Symond	Frey			
A Clash of Kings	909	Appendix	N/A	Betharios Frey, Of Braavos	F	A	?		Braavosi		Betharios	Frey		Of Braavos	
A Clash of Kings	909	Appendix	N/A	Alesander Frey	M	A	265 - 281 AC		Rivermen		Alesander	Frey			
A Clash of Kings	909	Appendix	N/A	Alyx Frey	F	A	282 AC		Rivermen		Alyx	Frey			
A Clash of Kings	909	Appendix	N/A	Bradamar Frey	M	A	289 AC		Rivermen		Bradamar	Frey			
A Clash of Kings	909	Appendix	N/A	Oro Tendyris	M	A	?		Braavosi		Oro	Tendyris			
A Clash of Kings	909	Appendix	N/A	Wynafrei Whent/Frey	F	A	?		Rivermen		Wynafrei	Frey	Whent		
A Clash of Kings	909	Appendix	N/A	Lady Mariya Darry/Frey	F	A	?		Rivermen	Lady	Mariya	Frey	Darry		
A Clash of Kings	909	Appendix	N/A	Lady Amerei Frey/Lannister, Gatehouse Ami	F	A	282 AC		Rivermen	Lady	Amerei	Lannister	Frey	Gatehouse Ami	
A Clash of Kings	909	Appendix	N/A	Ser Pate, Of the Blue Fork, Of Sevenstreams	M	D	?	299 AC	Rivermen	Ser	Pate			Of the Blue Fork, Of Sevenstreams	
A Clash of Kings	909	Appendix	N/A	Marissa Frey	F	A	286 AC		Rivermen		Marissa	Frey			
A Clash of Kings	909	Appendix	N/A	Ser Geremy Frey	M	D	263 or 264 AC	289 - 299 AC	Rivermen	Ser	Geremy	Frey			
A Clash of Kings	909	Appendix	N/A	Carolei Waynwood/Frey	F	A	?		Valemen		Carolei	Frey	Waynwood		
A Clash of Kings	909	Appendix	N/A	Sandor Frey	M	A	287 AC		Rivermen	Squire	Sandor	Frey			
A Clash of Kings	909	Appendix	N/A	Cynthea Frey	F	A	290 AC		Rivermen		Cynthea	Frey			
A Clash of Kings	910	Appendix	N/A	Ser Raymund Frey	M	A	264 or 265 AC		Rivermen	Ser	Raymund	Frey			
A Clash of Kings	910	Appendix	N/A	Beony Beesbury/Frey	F	A	?		Reachmen		Beony	Frey	Beesbury		
A Clash of Kings	910	Appendix	N/A	Acolyte Robert Frey, Son of Raymund	M	A	283 AC		Rivermen	Acolyte of the Citadel	Robert	Frey		Son of Raymund	
A Clash of Kings	910	Appendix	N/A	Malwyn Frey	M	A	284 AC		Rivermen		Malwyn	Frey			
A Clash of Kings	910	Appendix	N/A	Serra Frey	F	A	285 AC		Rivermen		Serra	Frey			
A Clash of Kings	910	Appendix	N/A	Sarra Frey	F	A	285 AC		Rivermen		Sarra	Frey			
A Clash of Kings	910	Appendix	N/A	Cersei Frey, Little Bee	F	A	292 or 293 AC		Rivermen		Cersei	Frey		Little Bee	
A Clash of Kings	910	Appendix	N/A	Lothar Frey, Lame Lothar	M	A	264 - 266 AC		Rivermen	Steward at The Twins	Lothar	Frey		Lame Lothar	
A Clash of Kings	910	Appendix	N/A	Leonella Lefford/Frey	F	A	?		Westermen		Leonella	Frey	Lefford		
A Clash of Kings	910	Appendix	N/A	Tysane Frey	F	A	292 AC		Rivermen		Tysane	Frey			
A Clash of Kings	910	Appendix	N/A	Walda Frey, Daughter of Lothar	F	A	294 or 295 AC		Rivermen		Walda	Frey		Daughter of Lothar	
A Clash of Kings	910	Appendix	N/A	Emberlei Frey	F	A	296 or 297 AC		Rivermen		Emberlei	Frey			
A Clash of Kings	910	Appendix	N/A	Sallei Paege/Frey	F	A	?		Rivermen		Sallei	Frey	Paege		
A Clash of Kings	910	Appendix	N/A	Dickon Frey	M	A	294 AC		Rivermen		Dickon	Frey			
A Clash of Kings	910	Appendix	N/A	Mathis Frey	M	A	294 AC		Rivermen		Mathis	Frey			
A Clash of Kings	910	Appendix	N/A	Sylwa Paege/Frey	F	A	?		Rivermen		Sylwa	Frey	Paege		
A Clash of Kings	910	Appendix	N/A	Hoster Frey	M	A	287 AC		Rivermen	Squire	Hoster	Frey			
A Clash of Kings	910	Appendix	N/A	Ser Damon Paege	M	A	?		Rivermen	Ser	Damon	Paege			
A Clash of Kings	910	Appendix	N/A	Merianne Frey, Merry	F	A	288 AC		Rivermen		Merianne	Frey		Merry Frey	
A Clash of Kings	910	Appendix	N/A	Morya Frey/Brax	F	A	268 or 269 AC		Rivermen		Morya	Brax	Frey		
A Clash of Kings	910	Appendix	N/A	Robert Brax, Son of Flement	M	A	290 AC		Westermen	Page	Robert	Brax		Son of Flement	
A Clash of Kings	910	Appendix	N/A	Walder Brax	M	A	293 AC		Westermen		Walder	Brax			
A Clash of Kings	910	Appendix	N/A	Jon Brax	M	A	296 AC		Westermen		Jon	Brax			
A Clash of Kings	910	Appendix	N/A	Tyta Frey, The Maid	F	A	269 or 270 AC		Rivermen		Tyta	Frey		The Maid	
A Clash of Kings	910	Appendix	N/A	Ser Benfrey Frey	M	D	271 - 279 AC	299 AC	Rivermen	Ser	Benfrey	Frey			
A Clash of Kings	910	Appendix	N/A	Jyanna Frey	F	A	?		Rivermen		Jyanna	Frey			
A Clash of Kings	911	Appendix	N/A	Della Frey, Deaf Della	F	A	296 AC		Rivermen		Della	Frey		Deaf Della	
A Clash of Kings	911	Appendix	N/A	Osmund Frey	M	B	297 AC		Rivermen		Osmund	Frey			
A Clash of Kings	911	Appendix	N/A	Maester Willamen (Frey)	M	A	272 - 280 AC		Rivermen	Maester at Longbow Hall	Willamen		Frey		
A Clash of Kings	911	Appendix	N/A	Roslin Frey/Tully	F	A	282 or 283 AC		Rivermen		Roslin	Tully	Frey		
A Clash of Kings	911	Appendix	N/A	Arwyn Frey	F	A	285 AC		Rivermen		Arwyn	Frey			
A Clash of Kings	911	Appendix	N/A	Wendel Frey	M	A	286 AC		Rivermen	Page	Wendel	Frey			
A Clash of Kings	911	Appendix	N/A	Colmar Frey	M	A	288 AC		Rivermen		Colmar	Frey			
A Clash of Kings	911	Appendix	N/A	Shirei Frey	F	A	292 or 293 AC		Rivermen		Shirei	Frey			
A Clash of Kings	911	Appendix	N/A	Ser Aemon Rivers	M	A	?		Rivermen	Ser	Aemon	Rivers			
A Clash of Kings	911	Appendix	N/A	Walda Rivers, sister of Aemon Rivers	F	A	294 or 295 AC		Rivermen		Walda	Rivers			
A Clash of Kings	911	Appendix	N/A	Maester Melwys (Rivers)	M	A	?		Rivermen	Maester at Rosby	Melwys		Rivers		
A Clash of Kings	911	Appendix	N/A	Jeyne Rivers	F	A	?		Rivermen		Jeyne	Rivers			
A Clash of Kings	911	Appendix	N/A	Ronel Rivers	M	A	?		Rivermen		Ronel	Rivers			
A Clash of Kings	911	Appendix	N/A	Mellara Rivers	F	A	?		Rivermen		Mellara	Rivers			
A Clash of Kings	912	Appendix	N/A	Ser Aladale Wynch	M	D	?	300 AC	Ironborn	Ser	Aladale	Wynch			
A Clash of Kings	912	Appendix	N/A	Elron	M	A	?		?		Elron				
A Clash of Kings	913	Appendix	N/A	Cugen	M	A	?		?		Cugen			Cuger	
A Storm of Swords	2	Prologue	Chett	Paul, Small Paul	M	D, W	?	299 AC	?		Paul			Small Paul, Cheese-for-wits	
A Storm of Swords	2	Prologue	Chett	Blane	M	U	?		?		Blane				
A Storm of Swords	2	Prologue	Chett	Grubbs	M	D	?	300 AC	?		Grubbs				
A Storm of Swords	2	Prologue	Chett	Aethan	M	U	?		?		Aethan				
A Storm of Swords	2	Prologue	Chett	Bannen	M	D	?	299 AC	Northmen		Bannen				
A Storm of Swords	2	Prologue	Chett	Softfoot	M	D, W	?	299 AC	?		Softfoot				
A Storm of Swords	3	Prologue	Chett	Kedge, Whiteye	M	U	251 - 260 AC		?		Kedge			Whiteye	
A Storm of Swords	3	Prologue	Chett	Goady	M	A	?		?		Goady				
A Storm of Swords	3	Prologue	Chett	Tumberjon	M	U	?		?		Tumberjon				
A Storm of Swords	4	Prologue	Chett	Donnel Hill, Sweet Donnel	M	A	?		Westermen	Squire	Donnel	Hill		Sweet Donnel	
A Storm of Swords	5	Prologue	Chett	Karl, Clubfoot Karl	M	D	?	300 AC	?		Karl			Clubfoot Karl	
A Storm of Swords	5	Prologue	Chett	Dirk	M	D	?	300 AC	?		Dirk				
A Storm of Swords	5	Prologue	Chett	Ollo, Lophand	M	D	?	300 AC	Tyroshi		Ollo			Lophand	
A Storm of Swords	5	Prologue	Chett	Sawwood	M	U	?		?		Sawwood				
A Storm of Swords	5	Prologue	Chett	Maslyn	M	D	?	299 AC	?		Maslyn				
A Storm of Swords	5	Prologue	Chett	Rolley Of Sisterton, cousin of Lark the Sisterman	M	D	?	299 AC	Sistermen		Rolley				
A Storm of Swords	7	Prologue	Chett	Bessa, Of Hag's Mire	F	H	?	?	Rivermen		Bessa			Of Hag's Mire	
A Storm of Swords	36	Catelyn I	Catelyn Tully	Violet	F	H	?	?	Rivermen		Violet				
A Storm of Swords	39	Catelyn I	Catelyn Tully	Ser Ronnel Arryn	M	H	219 - 252 AC	?	Valemen	Ser, Keeper of the Gates of the Moon	Ronnel	Arryn			
A Storm of Swords	51	Arya I	Arya Stark	Togg Joth	M	U	?		Ibbenese		Togg	Joth			
A Storm of Swords	51	Arya I	Arya Stark	Iggo	M	D	?	299 AC	Dothraki		Iggo				
A Storm of Swords	51	Arya I	Arya Stark	Timeon the Dornishman	M	D	?	300 AC	Dornishmen		Timeon			The Dornishman	
A Storm of Swords	78	Sansa I	Sansa Stark	Ser Kennos, Of Kayce	M	A	?		Westermen	Ser	Kennos			Of Kayce	
A Storm of Swords	79	Sansa I	Sansa Stark	Arryk, Left/Right	M	A	?		Reachmen		Arryk			Left/Right	
A Storm of Swords	79	Sansa I	Sansa Stark	Erryk, Left/Right	M	A	?		Reachmen		Erryk			Left/Right	
A Storm of Swords	80	Sansa I	Sansa Stark	Megga Tyrell	F	A	Roughly 286 AC		Reachmen		Megga	Tyrell			
A Storm of Swords	80	Sansa I	Sansa Stark	Alla Tyrell	F	A	Roughly 286 AC		Reachmen		Alla	Tyrell			
A Storm of Swords	80	Sansa I	Sansa Stark	Elinor Tyrell	F	A	Roughly 286 AC		Reachmen		Elinor	Tyrell			
A Storm of Swords	80	Sansa I	Sansa Stark	Lady Leonette Fossoway/Tyrell	F	A	?		Reachmen	Lady	Leonette	Tyrell	Fossoway		
A Storm of Swords	80	Sansa I	Sansa Stark	Septa Nysterica	F	A	?		?	Septa at Highgarden	Nysterica				
A Storm of Swords	80	Sansa I	Sansa Stark	Lady Alyce Graceford	F	A	?		Reachmen	Lady	Alyce	Graceford			
